,CO_ENTIDADE,NO_ENTIDADE,END,BAIRRO,LAT,LON,CEP,MUN,UF,PAIS,CO_MUNICIPIO,TP_DEPENDENCIA,IN_CONVENIADA_PP,IN_AGUA_FILTRADA,IN_ESGOTO_REDE_PUBLICA,IN_LABORATORIO_INFORMATICA,IN_LABORATORIO_CIENCIAS,IN_QUADRA_ESPORTES,IN_BIBLIOTECA,IN_PARQUE_INFANTIL,IN_DEPENDENCIAS_PNE,IN_PATIO_COBERTO,IN_PATIO_DESCOBERTO,IN_INTERNET,QT_FUNCIONARIOS,IN_ALIMENTACAO,TP_AEE,TP_ATIVIDADE_COMPLEMENTAR,IN_ESPECIAL_EXCLUSIVA,IN_PROFISSIONALIZANTE,IDEB14_17,PROJ14_17,IDEB58_17,PROJ58_17,docentes,docentes_superior,docentes_especializ,docentes_mestrado,docentes_doutorado,docentes_posnenhum,docentes_continuada,IN_BRAILLE,IN_RECURSOS_BAIXA_VISAO,IN_PROCESSOS_MENTAIS,IN_ORIENTACAO_MOBILIDADE,IN_SINAIS,IN_COMUNICACAO_ALT_AUMENT,IN_ENRIQ_CURRICULAR,IN_SOROBAN,IN_INFORMATICA_ACESSIVEL,IN_PORT_ESCRITA,IN_AUTONOMIA_ESCOLAR,IN_DISC_LINGUA_INGLES,IN_DISC_LINGUA_ESPANHOL,IN_DISC_LINGUA_FRANCES,IN_DISC_ATENDIMENTO_ESPECIAIS,IN_DISC_DIVER_SOCIO_CULTURAL,ID_MATRICULA,CO_ESCOLA,media_enem,NU_DDD,NU_TELEFONE,ATU_INF,ATU_FUN,ATU_MED,tap_F14,tap_F04,tap_FUN,tap_MED,tre_FUN,tre_F14,tre_F04,tre_MED,tab_FUN,tab_F14,tab_F04,tab_MED,TDI_FUN,TDI_MED
0,43000452,ESC ENS MEDIO CESI ZONA SUL,"Rua José Braulio da Fonseca, 44, Hípica, Porto Alegre - RS, 91787-895, Brazil",Hípica,-30.1601,-51.1869,91787-895,Porto Alegre,RS,BRA,4314902,4,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70.0,0.0,0.0,0.0,0.0,0.0,,,,,44,37,13,2,1,22,8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1059,43000452.0,493.71137254901964,51,33461880,,32.9,34.2,99.3,96.9,98.4,92.7,1.6,0.7,3.1,7.3,0.0,0.0,0.0,0.0,3.9,13.5
1,43000479,E E IND ENS FUN TUPE PAN,"Rua da Comunidade, Lomba do Pinheiro, Porto Alegre - RS, 91560-550, Brazil",Lomba do Pinheiro,-30.12695,-51.12024,91560-550,Porto Alegre,RS,BRA,4314902,2,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,,,-,-,,6.0,,91.7,,91.7,,8.3,8.3,,,0.0,0.0,,,16.7,
2,43000487,ESC EDUC PROFISSIONAL CECILIA MEIRELES,"Rua dos Andradas, 1001, Centro Histórico, Porto Alegre - RS, 90020-007, Brazil",Centro Histórico,-30.03068,-51.23154,90020-007,Porto Alegre,RS,BRA,4314902,4,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,145.0,0.0,0.0,0.0,0.0,1.0,,,,,49,46,21,9,3,13,26,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,3527,,,51,30842420,,,,,,,,,,,,,,,,,
3,43000495,ESCOLAS E FACULDADES QI - ALBERTO BINS,"Avenida Alberto Bins, 320, Centro Histórico, Porto Alegre - RS, 90030-140, Brazil",Centro Histórico,-30.02801,-51.22355,90030-140,Porto Alegre,RS,BRA,4314902,4,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,22.0,0.0,0.0,0.0,0.0,1.0,,,,,16,16,10,3,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,,,51,30735800,,,,,,,,,,,,,,,,,
4,43000517,ESCOLA DE EDUCACAO PROFISSIONAL PROFESSOR ALBERT EINSTEIN,"Rua dos Andradas, 1270, Centro Histórico, Porto Alegre - RS, 90010-230, Brazil",Centro Histórico,-30.0298,-51.22912,90010-230,Porto Alegre,RS,BRA,4314902,4,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,1.0,,,,,6,6,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,,,51,32256917,,,,,,,,,,,,,,,,,
5,43000533,ESCOLAS E FACULDADES QI - JULIO DE CASTILHOS,"Avenida Júlio de Castilhos, 435, Centro Histórico, Porto Alegre - RS, 90030-131, Brazil",Centro Histórico,-30.025129999999997,-51.22274,90030-131,Porto Alegre,RS,BRA,4314902,4,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,29.0,0.0,0.0,0.0,0.0,1.0,,,,,12,10,3,1,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,741,,,51,32140000,,,,,,,,,,,,,,,,,
6,43001190,IFRS - CAMPUS PORTO ALEGRE RESTINGA,"Rua Alberto Hoffmann, 285, Restinga, Porto Alegre - RS, 91790-400, Brazil",Restinga,-30.14197,-51.130559999999996,91790-400,Porto Alegre,RS,BRA,4314902,1,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,107.0,1.0,0.0,0.0,0.0,1.0,,,,,58,57,3,41,22,1,22,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,580,43001190.0,515.2495833333334,51,32478400,,,29.7,,,,71.6,,,,26.2,,,,2.2,,40.7
7,43001254,E E IND ENS FUN PINDO POTY,"Estrada do Varejão, 248, Lami, Porto Alegre - RS, 91787-170, Brazil",Lami,-30.21998,-51.097840000000005,91787-170,Porto Alegre,RS,BRA,4314902,2,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,,,,,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,,,-,-,,1.5,,100.0,,100.0,,0.0,0.0,,,0.0,0.0,,,66.7,
8,43001831,EEI PEIXINHOS DO MAR,"Rua Francisco Pinto da Fontoura, 585, Sarandi, Porto Alegre - RS, 91110-310, Brazil",Sarandi,-29.993029999999997,-51.13312,91110-310,Porto Alegre,RS,BRA,4314902,4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,,,51,-,3.7,,,,,,,,,,,,,,,,
9,43001840,ESCOLA INFANTIL ARCO IRIS,"Avenida Arlindo Pasqualini, 232, Jardim Isabel, Porto Alegre - RS, 91760-140, Brazil",Jardim Isabel,-30.12722,-51.237429999999996,91760-140,Porto Alegre,RS,BRA,4314902,4,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,,,,,11,9,6,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,,,51,32461555,9.6,,,,,,,,,,,,,,,,
